ID,Title,Question,Chose_A,Chose_B,Chose_C,Chose_D,Chose_E,Correct,Answered,Explain
103515,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 32
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer needs to perform geographic load testing of an API. The developer
must deploy resources to multiple AWS Regions to support the load testing of the
API.
How can the developer meet these requirements without additional application
code?",Create and deploy an AWS Lambda function in each desired Region. Configure the Lambda function to create a stack from an AWS CloudFormation template in that Region when the function is invoked.,Create an AWS CloudFormation template that defines the load test resources. Use the AWS CLI create-stack-set command to create a stack set in the desired Regions.,Create an AWS Systems Manager document that defines the resources. Use the document to create the resources in the desired Regions.,Create an AWS CloudFormation template that defines the load test resources. Use the AWS CLI deploy command to create a stack from the template in each Region.,,"[{""voted_answers"": ""B"", ""vote_count"": 30, ""is_most_voted"": true},
{""voted_answers"": ""C"", ""vote_count"": 1, ""is_most_voted"": false}]",B,"CloudFormation StackSets allow deploying the same template across multiple Regions and accounts, which is the correct approach for multi‑Region resource creation."
103517,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 34
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is creating a template that uses AWS CloudFormation to deploy an
application. The application is serverless and uses Amazon API Gateway, Amazon
DynamoDB, and AWS Lambda.
Which AWS service or tool should the developer use to define serverless
resources in YAML?",CloudFormation serverless intrinsic functions,AWS Elastic Beanstalk,AWS Serverless Application Model (AWS SAM),AWS Cloud Development Kit (AWS CDK),,"[{""voted_answers"": ""C"", ""vote_count"": 12, ""is_most_voted"": true}]",C,"AWS SAM (Serverless Application Model) is the correct choice because it extends AWS CloudFormation with simplified, serverless-specific resource types such as AWS::Serverless::Function, AWS::Serverless::Api, and AWS::Serverless::Table. This makes it much easier to define and deploy serverless applications using concise YAML templates."
103519,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 35
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer wants to insert a record into an Amazon DynamoDB table as soon as a
new file is added to an Amazon S3 bucket.
Which set of steps would be necessary to achieve this?",Create an event with Amazon EventBridge that will monitor the S3 bucket and then insert the records into DynamoDB.,Configure an S3 event to invoke an AWS Lambda function that inserts records into DynamoDB.,Create an AWS Lambda function that will poll the S3 bucket and then insert the records into DynamoDB.,Create a cron job that will run at a scheduled time and insert the records into DynamoDB.,,"[{""voted_answers"": ""B"", ""vote_count"": 16, ""is_most_voted"": true}]",B,"S3 event notifications are the correct way to automatically trigger a Lambda function when new objects arrive, allowing the Lambda to insert records into DynamoDB."
103521,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 36
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A development team maintains a web application by using a single AWS
CloudFormation template. The template defines web servers and an Amazon RDS
database. The team uses the Cloud Formation template to deploy the Cloud
Formation stack to different environments.
During a recent application deployment, a developer caused the primary
development database to be dropped and recreated. The result of this incident
was a loss of data. The team needs to avoid accidental database deletion in the
future.
Which solutions will meet these requirements? (Choose two.)",Add a CloudFormation Deletion Policy attribute with the Retain value to the database resource.,Update the CloudFormation stack policy to prevent updates to the database.,Modify the database to use a Multi-AZ deployment.,Create a CloudFormation stack set for the web application and database deployments.,E. Add a Cloud Formation DeletionPolicy attribute with the Retain value to the stack.,"[{""voted_answers"": ""AB"", ""vote_count"": 27, ""is_most_voted"": true}]",A,Only adding a DeletionPolicy Retain to the database resource ensures the database is preserved. A stack policy does not prevent deletion during stack delete and is not required here.
103522,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 38
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","An application that is hosted on an Amazon EC2 instance needs access to files
that are stored in an Amazon S3 bucket. The application lists the objects that
are stored in the S3 bucket and displays a table to the user. During testing, a
developer discovers that the application does not show any objects in the list.
What is the MOST secure way to resolve this issue?",Update the IAM instance profile that is attached to the EC2 instance to include the S3:* permission for the S3 bucket.,Update the IAM instance profile that is attached to the EC2 instance to include the S3:ListBucket permission for the S3 bucket.,Update the developer's user permissions to include the S3:ListBucket permission for the S3 bucket.,Update the S3 bucket policy by including the S3:ListBucket permission and by setting the Principal element to specify the account number of the EC2 instance.,,"[{""voted_answers"": ""B"", ""vote_count"": 26, ""is_most_voted"": true},
{""voted_answers"": ""A"", ""vote_count"": 5, ""is_most_voted"": false}]",B,"To allow an EC2 instance to list objects in an S3 bucket, the instance profile role must include the S3:ListBucket permission. Granting full S3:* is unnecessary."
103523,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 40
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company has deployed infrastructure on AWS. A development team wants to create
an AWS Lambda function that will retrieve data from an Amazon Aurora database.
The Amazon Aurora database is in a private subnet in company's VPC. The VPC is
named VPC1. The data is relational in nature. The Lambda function needs to
access the data securely.
Which solution will meet these requirements?",Create the Lambda function. Configure VPC1 access for the function. Attach a security group named SG1 to both the Lambda function and the database. Configure the security group inbound and outbound rules to allow TCP traffic on Port 3306.,Create and launch a Lambda function in a new public subnet that is in a new VPC named VPC2. Create a peering connection between VPC1 and VPC2.,Create the Lambda function. Configure VPC1 access for the function. Assign a security group named SG1 to the Lambda function. Assign a second security group named SG2 to the database. Add an inbound rule to SG1 to allow TCP traffic from Port 3306.,Export the data from the Aurora database to Amazon S3. Create and launch a Lambda function in VPC1. Configure the Lambda function query the data from Amazon S3.,,"[{""voted_answers"": ""A"", ""vote_count"": 38, ""is_most_voted"": true},
{""voted_answers"": ""C"", ""vote_count"": 16, ""is_most_voted"": false},
{""voted_answers"": ""B"", ""vote_count"": 4, ""is_most_voted"": false}]",A,"Using the same security group for both the Lambda function and the Aurora database allows the inbound rule to reference itself, enabling communication on port 3306."
103619,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 50
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is creating a mobile app that calls a backend service by using an
Amazon API Gateway REST API. For integration testing during the development
phase, the developer wants to simulate different backend responses without
invoking the backend service.
Which solution will meet these requirements with the LEAST operational overhead?",Create an AWS Lambda function. Use API Gateway proxy integration to return constant HTTP responses.,Create an Amazon EC2 instance that serves the backend REST API by using an AWS CloudFormation template.,Customize the API Gateway stage to select a response type based on the request.,Use a request mapping template to select the mock integration response.,,"[{""voted_answers"": ""D"", ""vote_count"": 27, ""is_most_voted"": true}]",D,Mock integrations in API Gateway use mapping templates to generate responses without backend services.
103644,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 22
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is creating an application that will store personal health
information (PHI). The PHI needs to be encrypted at all times. An encrypted
Amazon RDS for MySQL DB instance is storing the data. The developer wants to
increase the performance of the application by caching frequently accessed data
while adding the ability to sort or rank the cached datasets.
Which solution will meet these requirements?",Create an Amazon ElastiCache for Redis instance. Enable encryption of data in transit and at rest. Store frequently accessed data in the cache.,Create an Amazon ElastiCache for Memcached instance. Enable encryption of data in transit and at rest. Store frequently accessed data in the cache.,Create an Amazon RDS for MySQL read replica. Connect to the read replica by using SSL. Configure the read replica to store frequently accessed data.,Create an Amazon DynamoDB table and a DynamoDB Accelerator (DAX) cluster for the table. Store frequently accessed data in the DynamoDB table.,,"[{""voted_answers"": ""A"", ""vote_count"": 50, ""is_most_voted"": true}]",A,ElastiCache for Redis supports encryption in transit and at rest and is appropriate for caching frequently accessed data.
103646,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 24
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company wants to deploy and maintain static websites on AWS. Each website's
source code is hosted in one of several version control systems, including AWS
CodeCommit, Bitbucket, and GitHub.
The company wants to implement phased releases by using development, staging,
user acceptance testing, and production environments in the AWS Cloud.
Deployments to each environment must be started by code merges on the relevant
Git branch. The company wants to use HTTPS for all data exchange. The company
needs a solution that does not require servers to run continuously.
Which solution will meet these requirements with the LEAST operational overhead?",Host each website by using AWS Amplify with a serverless backend. Conned the repository branches that correspond to each of the desired environments. Start deployments by merging code changes to a desired branch.,Host each website in AWS Elastic Beanstalk with multiple environments. Use the EB CLI to link each repository branch. Integrate AWS CodePipeline to automate deployments from version control code merges.,Host each website in different Amazon S3 buckets for each environment. Configure AWS CodePipeline to pull source code from version control. Add an AWS CodeBuild stage to copy source code to Amazon S3.,Host each website on its own Amazon EC2 instance. Write a custom deployment script to bundle each website's static assets. Copy the assets to Amazon EC2. Set up a workflow to run the script when code is merged.,,"[{""voted_answers"": ""A"", ""vote_count"": 26, ""is_most_voted"": true},
{""voted_answers"": ""C"", ""vote_count"": 3, ""is_most_voted"": false},
{""voted_answers"": ""B"", ""vote_count"": 1, ""is_most_voted"": false}]",A,"AWS Amplify is designed to host static websites with multiple environments mapped to repository branches, supporting automated deployments on code merges."
103656,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 26
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is creating an application that will be deployed on IoT devices. The
application will send data to a RESTful API that is deployed as an AWS Lambda
function. The application will assign each API request a unique identifier. The
volume of API requests from the application can randomly increase at any given
time of day.
During periods of request throttling, the application might need to retry
requests. The API must be able to handle duplicate requests without
inconsistencies or data loss.
Which solution will meet these requirements?",Create an Amazon RDS for MySQL DB instance. Store the unique identifier for each request in a database table. Modify the Lambda function to check the table for the identifier before processing the request.,Create an Amazon DynamoDB table. Store the unique identifier for each request in the table. Modify the Lambda function to check the table for the identifier before processing the request.,Create an Amazon DynamoDB table. Store the unique identifier for each request in the table. Modify the Lambda function to return a client error response when the function receives a duplicate request.,Create an Amazon ElastiCache for Memcached instance. Store the unique identifier for each request in the cache. Modify the Lambda function to check the cache for the identifier before processing the request.,,"[{""voted_answers"": ""B"", ""vote_count"": 56, ""is_most_voted"": true},
{""voted_answers"": ""C"", ""vote_count"": 1, ""is_most_voted"": false}]",B,Storing request identifiers in DynamoDB and checking for duplicates before processing is the standard way to implement idempotency in Lambda.
103664,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 33
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is creating an application that includes an Amazon API Gateway REST
API in the us-east-2 Region. The developer wants to use Amazon CloudFront and a
custom domain name for the API. The developer has acquired an SSL/TLS
certificate for the domain from a third-party provider.
How should the developer configure the custom domain for the application?",Import the SSL/TLS certificate into AWS Certificate Manager (ACM) in the same Region as the API. Create a DNS A record for the custom domain.,Import the SSL/TLS certificate into CloudFront. Create a DNS CNAME record for the custom domain.,Import the SSL/TLS certificate into AWS Certificate Manager (ACM) in the same Region as the API. Create a DNS CNAME record for the custom domain.,Import the SSL/TLS certificate into AWS Certificate Manager (ACM) in the us-east-1 Region. Create a DNS CNAME record for the custom domain.,,"[{""voted_answers"": ""D"", ""vote_count"": 59, ""is_most_voted"": true},
{""voted_answers"": ""C"", ""vote_count"": 9, ""is_most_voted"": false}]",D,"Edge-optimized API Gateway custom domains require the SSL/TLS certificate to be imported into ACM in us-east-1, and a DNS CNAME record must be created."
103686,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 65
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is building a new application on AWS. The application uses an AWS
Lambda function that retrieves information from an Amazon DynamoDB table. The
developer hard coded the DynamoDB table name into the Lambda function code. The
table name might change over time. The developer does not want to modify the
Lambda code if the table name changes.
Which solution will meet these requirements MOST efficiently?",Create a Lambda environment variable to store the table name. Use the standard method for the programming language to retrieve the variable.,Store the table name in a file. Store the file in the /tmp folder. Use the SDK for the programming language to retrieve the table name.,Create a file to store the table name. Zip the file and upload the file to the Lambda layer. Use the SDK for the programming language to retrieve the table name.,Create a global variable that is outside the handler in the Lambda function to store the table name.,,"[{""voted_answers"": ""A"", ""vote_count"": 26, ""is_most_voted"": true}]",A,The best practice for storing configuration values such as DynamoDB table names in Lambda is using environment variables.
103687,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 64
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is migrating some features from a legacy monolithic application to
use AWS Lambda functions instead. The application currently stores data in an
Amazon Aurora DB cluster that runs in private subnets in a VPC. The AWS account
has one VPC deployed. The Lambda functions and the DB cluster are deployed in
the same AWS Region in the same AWS account.
The developer needs to ensure that the Lambda functions can securely access the
DB cluster without crossing the public internet.
Which solution will meet these requirements?",Configure the DB cluster's public access setting to Yes.,Configure an Amazon RDS database proxy for he Lambda functions.,Configure a NAT gateway and a security group for the Lambda functions.,"Configure the VPC, subnets, and a security group for the Lambda functions.",,"[{""voted_answers"": ""D"", ""vote_count"": 22, ""is_most_voted"": true},
{""voted_answers"": ""C"", ""vote_count"": 2, ""is_most_voted"": false}]",D,"Lambda functions must be configured with the same VPC, subnets, and security groups as the RDS DB cluster to allow private network access."
103708,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 45
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is writing an AWS Lambda function. The developer wants to log key
events that occur while the Lambda function runs. The developer wants to include
a unique identifier to associate the events with a specific function invocation.
The developer adds the following code to the Lambda function:
[https://img.examtopics.com/aws-certified-developer-associate-dva-c02/image2.png]
Which solution will meet this requirement?",Obtain the request identifier from the AWS request ID field in the context object. Configure the application to write logs to standard output.,Obtain the request identifier from the AWS request ID field in the event object. Configure the application to write logs to a file.,Obtain the request identifier from the AWS request ID field in the event object. Configure the application to write logs to standard output.,Obtain the request identifier from the AWS request ID field in the context object. Configure the application to write logs to a file.,,"[{""voted_answers"": ""A"", ""vote_count"": 45, ""is_most_voted"": true},
{""voted_answers"": ""D"", ""vote_count"": 3, ""is_most_voted"": false}]",A,"The Lambda request ID is obtained from the context object, and logs should be written to standard output for CloudWatch logging."
