No,Content,A,B,C,D,Answered
92,"[""An application under development is required to store hundreds of video files.\nThe data must be encrypted within the application prior to storage, with a\nunique key for each video file.\n\nHow should the developer code the application?""]",Use the KMS Encrypt API to encrypt the data. Store the encrypted data key and data.,Use a cryptography library to generate an encryption key for the application. Use the encryption key to encrypt the data. Store the encrypted data.,Use the KMS GenerateDataKey API to get a data key. Encrypt the data with the data key. Store the encrypted data key and data.,Upload the data to an S3 bucket using server side-encryption with an AWS KMS key.,"# Answer
- **Correct option:** C : Use the KMS GenerateDataKey API to get a data key. Encrypt the data with the data key. Store the encrypted data key and data.

- **Reason:** This option correctly addresses the requirement of using a unique encryption key for each video file while leveraging AWS Key Management Service (KMS). The process of using the GenerateDataKey API allows the application to obtain a data encryption key that is encrypted by KMS and can be safely stored alongside the encrypted video data. This method combines security (by using KMS for key management) with the flexibility of managing unique keys for each file.

# Example / Analogy
- Think of KMS as a secure vault where you can store gold keys (data keys). Each time you need gold to lock your treasure (video files), you ask KMS for a new gold key. You use it to lock your treasure and then put the key in the vault, secured by KMS, ensuring that each treasure is uniquely secured.

# Common Mistakes / Traps
- A common mistake is misunderstanding when to use KMS versus application-level encryption. Option A suggests directly using KMS to encrypt data, but it does not mention managing unique keys for each video file. Option D assumes server-side encryption with KMS, which does not meet the requirement of pre-encrypting the data with unique keys before storage. 

# Memory Tip
- ""Use KMS for gold keys, keep them safe and unique for each video!"""
93,"[""A company is planning to deploy an application on AWS behind an Elastic Load\nBalancer. The application uses an HTTP/HTTPS listener and must access the client\nIP addresses.\n\nWhich load-balancing solution meets these requirements?""]",Use an Application Load Balancer and the X-Forwarded-For headers.,Use a Network Load Balancer (NLB). Enable proxy protocol support on the NLB and the target application.,Use an Application Load Balancer. Register the targets by the instance ID.,Use a Network Load Balancer and the X-Forwarded-For headers.,"# Answer
- **Correct option:** A : Use an Application Load Balancer and the X-Forwarded-For headers.
- **Reason:** The Application Load Balancer (ALB) supports both HTTP and HTTPS listeners and can include the original client IP address in the requests forwarded to the backend instances through the `X-Forwarded-For` header. This allows the application to identify the true client IP, which is essential for certain functionalities such as logging and security.

# Example / Analogy
- Think of a restaurant where customers submit their orders. If an order ticket only has the name of the waiter who took the order, the kitchen staff may not know who actually placed the order. The `X-Forwarded-For` header acts like a note that includes the actual customer’s name, allowing the kitchen to know who made the request.

# Common Mistakes / Traps
- A common trap is to assume that using a Network Load Balancer or relying solely on instance IP addresses will allow access to client IPs. NLBs don’t natively forward client IPs unless you enable proxy protocol, which can add unnecessary complexity. 

# Memory Tip
- Remember: **ALB + X-Forwarded-For = Client IP Awareness!**"
94,"[""A developer is building a highly secure healthcare application using serverless\ncomponents. This application requires writing temporary data to /tmp storage on\nan AWS Lambda function.\n\nHow should the developer encrypt this data?""]",Enable Amazon EBS volume encryption with an AWS KMS key in the Lambda function configuration so that all storage attached to the Lambda function is encrypted.,Set up the Lambda function with a role and key policy to access an AWS KMS key. Use the key to generate a data key used to encrypt all data prior to writing to /tmp storage.,Use OpenSSL to generate a symmetric encryption key on Lambda startup. Use this key to encrypt the data prior to writing to /tmp.,"Use an on-premises hardware security module (HSM) to generate keys, where the Lambda function requests a data key from the HSM and uses that to encrypt data on all requests to the function.","# Answer
- **Correct option:** B
- **Reason:** Option B describes the proper approach to encrypting temporary data in an AWS Lambda function. By setting up the Lambda function with a role and key policy to access an AWS KMS key, the developer can safely generate a data key that is used to encrypt the data before writing it to the /tmp storage. This ensures that sensitive healthcare data is protected while in transit and at rest.

# Example / Analogy
- Think of your data as a valuable package that you want to store temporarily. Instead of leaving it unguarded, you use a special key (the KMS key) to lock it in a secure container (the encryption method). When you need the package, you unlock it with your key, ensuring that only authorized parties can access it, similar to securing important documents in a safe.

# Common Mistakes / Traps
- A common mistake may be opting for option A, which mentions Amazon EBS volume encryption. However, Lambda functions do not have attached EBS volumes, meaning this option is irrelevant. Furthermore, relying solely on OpenSSL in option C might introduce risks associated with key management and does not leverage AWS's built-in security features effectively.

# Memory Tip
- Use AWS KMS for secure key management to encrypt sensitive data in Lambda!"
95,"[""A developer deployed an application to an Amazon EC2 instance. The application\nneeds to know the public IPv4 address of the instance.\n\nHow can the application find this information?""]",Query the instance metadata from http://169.254.169.254/latest/meta-data/.,Query the instance user data from http://169.254.169.254/latest/user-data/.,Query the Amazon Machine Image (AMI) information from http://169.254.169.254/latest/meta-data/ami/.,Check the hosts file of the operating system.,"# Answer
- **Correct option:** A : Query the instance metadata from http://169.254.169.254/latest/meta-data/.

- **Reason:** The instance metadata is a special feature provided by AWS that allows an EC2 instance to access information about itself, including its public IPv4 address. This information can be retrieved by making a simple HTTP request to the instance metadata service at a predefined link, which for IPv4 addressed information is specifically located at `http://169.254.169.254/latest/meta-data/`. 

# Example / Analogy
- Imagine your EC2 instance is like a person at a conference. They have a name tag (instance metadata) which includes their contact information. To find out their phone number (public IPv4 address), you simply need to ask them directly in a specific way, rather than looking at a directory (like the hosts file) or asking about other irrelevant information (like AMI or user data), which wouldn’t help you get the phone number you actually need.

# Common Mistakes / Traps
- A common mistake is to confuse instance metadata with user data or AMI information. User data is used to pass initialization scripts and configurations to the instance at launch but does not contain dynamic metadata such as the public IPv4 address. Additionally, some might incorrectly assume to search through system files (like the hosts file), which would not provide this specific information.

# Memory Tip
- Remember: **""Instance metadata is the key to knowing your EC2 instance's address!""**"
96,"[""A developer wants to debug an application by searching and filtering log data.\nThe application logs are stored in Amazon CloudWatch Logs. The developer creates\na new metric filter to count exceptions in the application logs. However, no\nresults are returned from the logs.\n\nWhat is the reason that no filtered results are being returned?""]",A setup of the Amazon CloudWatch interface VPC endpoint is required for filtering the CloudWatch Logs in the VPC.,CloudWatch Logs only publishes metric data for events that happen after the filter is created.,The log group for CloudWatch Logs should be first streamed to Amazon OpenSearch Service before metric filtering returns the results.,Metric data points for logs groups can be filtered only after they are exported to an Amazon S3 bucket.,"# Answer
- **Correct option:** B
- **Reason:** CloudWatch Logs only publishes metric data for events that happen after the filter is created. This means that if the metric filter was set up after the relevant log data was generated (such as the exceptions), then it won't count those prior events because they were logged before the filter was in place.

# Example / Analogy
- Think of it like setting up a new subscription to a newspaper. If you subscribe today, you'll only receive the articles published from today onward. Any articles that were published before your subscription won't be delivered to you. Similarly, the metric filter only tracks logs generated after it has been created.

# Common Mistakes / Traps
- A common mistake is assuming that metric filters can retroactively analyze logs that have already been written. It's important to remember that filters only operate on new events recorded after their creation.

# Memory Tip
- Remember: ""Filters catch only new data, like a net only catching fish that swim by after it’s cast."""
97,"[""A company is planning to use AWS CodeDeploy to deploy an application to Amazon\nElastic Container Service (Amazon ECS). During the deployment of a new version\nof the application, the company initially must expose only 10% of live traffic\nto the new version of the deployed application. Then, after 15 minutes elapse,\nthe company must route all the remaining live traffic to the new version of the\ndeployed application.\n\nWhich CodeDeploy predefined configuration will meet these requirements?""]",CodeDeployDefault.ECSCanary10Percent15Minutes,CodeDeployDefault.LambdaCanary10Percent5Minutes,CodeDeployDefault.LambdaCanary10Percentl15Minutes,CodeDeployDefault.ECSLinear10PercentEvery1Minutes,"# Answer
- **Correct option:** A : CodeDeployDefault.ECSCanary10Percent15Minutes
- **Reason:** This predefined configuration in AWS CodeDeploy is specifically designed for Canary deployments. It allows you to shift only 10% of the traffic to the new version for a duration of 15 minutes before promoting the remaining traffic to the new version, which aligns perfectly with the company's requirements to gradually expose the new version.

# Example / Analogy
- Think of it like a restaurant testing a new dish. The restaurant serves the new dish to 10% of its customers for 15 minutes to see if they like it. If the feedback is positive, they then decide to serve the dish to all customers. This gradual testing ensures that they mitigate risks before a full rollout.

# Common Mistakes / Traps
- A common mistake would be confusing the configurations for Lambda and ECS. Remember that the ECS deployment types will have ""ECS"" in their names, while Lambda deployment types will have ""Lambda"" in them. Always look for the specific service you are deploying to in the options.

# Memory Tip
- **Remember: Canary is gradual, ECS specifies service!**"
98,"[""A developer is creating a Ruby application and needs to automate the deployment,\nscaling, and management of an environment without requiring knowledge of the\nunderlying infrastructure.\n\nWhich service would best accomplish this task?""]",AWS CodeDeploy,AWS CloudFormation,AWS OpsWorks,AWS Elastic Beanstalk,"# Answer
- **Correct option:** D : AWS Elastic Beanstalk  
- **Reason:** AWS Elastic Beanstalk is a Platform as a Service (PaaS) that allows developers to deploy applications without worrying about the underlying infrastructure. It automates the deployment, scaling, and management of applications, providing a straightforward way for Ruby developers (and others) to focus on writing code rather than managing servers.

# Example / Analogy
- Consider Elastic Beanstalk like a restaurant that prepares and serves meals for you without you needing to learn how to cook or manage the kitchen. You simply provide the recipe (your application code), and the restaurant handles everything else (servers, scaling, and management).

# Common Mistakes / Traps
- A common mistake is confusing AWS Elastic Beanstalk with AWS CloudFormation or AWS OpsWorks. CloudFormation focuses on infrastructure as code (IAC), while OpsWorks is based on Chef/Puppet for configuration management, neither of which automates deployment as seamlessly as Elastic Beanstalk does for application management.

# Memory Tip
- Remember: ""Elastic Beanstalk = Easy deployment with no infrastructure worries!"""
99,"[""A company has a web application that is deployed on AWS. The application uses an\nAmazon API Gateway API and an AWS Lambda function as its backend.\n\nThe application recently demonstrated unexpected behavior. A developer examines\nthe Lambda function code, finds an error, and modifies the code to resolve the\nproblem. Before deploying the change to production, the developer needs to run\ntests to validate that the application operates properly.\n\nThe application has only a production environment available. The developer must\ncreate a new development environment to test the code changes. The developer\nmust also prevent other developers from overwriting these changes during the\ntest cycle.\n\nWhich combination of steps will meet these requirements with the LEAST\ndevelopment effort? (Choose two.)""]",Create a new resource in the current stage. Create a new method with Lambda proxy integration. Select the Lambda function. Add the hotfix alias. Redeploy the current stage. Test the backend.,Update the Lambda function in the API Gateway API integration request to use the hotfix alias. Deploy the API Gateway API to a new stage named hotfix. Test the backend.,Modify the Lambda function by fixing the code. Test the Lambda function. Create the alias hotfix. Point the alias to the $LATEST version.,"Modify the Lambda function by fixing the code. Test the Lambda function. When the Lambda function is working as expected, publish the Lambda function as a new version. Create the alias hotfix. Point the alias to the new version.","# Answer
- **Correct options:** B and D
- **Reason:** 
  - Option **B** involves updating the Lambda function integration in the API Gateway to point to a new stage, which allows the developer to test the changes without affecting the production environment. This approach ensures that other developers cannot overwrite the hotfix changes because it operates in an isolated stage. 
  - Option **D** allows the developer to test the changes and ensure they're working as expected before publishing a new version of the Lambda function and creating an alias named ""hotfix."" This allows ongoing development and testing while maintaining stability in the production environment. The alias points to a specific version, preventing changes from disrupting this version. 

# Example / Analogy
- Imagine a restaurant that wants to add a new dish to its menu (the new code). Instead of immediately replacing a popular dish (the production environment), the restaurant tries the new dish in a special weekend trial (the separate stage in API Gateway) while keeping the old dish on the menu. Once they know the new dish is fantastic (successful testing), they officially add it to the menu (publish the new version).

# Common Mistakes / Traps
- One common mistake is rushing to modify the production environment directly, which can lead to unexpected downtime or issues. Also, utilizing aliases without appropriately versioning can create confusion over what version is in use.

# Memory Tip
- Always test changes in a dedicated environment and use aliases for version control in AWS Lambda!"
100,"[""A company's new mobile app uses Amazon API Gateway. As the development team\ncompletes a new release of its APIs, a developer must safely and transparently\nroll out the API change.\n\nWhat is the SIMPLEST solution for the developer to use for rolling out the new\nAPI version to a limited number of users through API Gateway?""]",Create a new API in API Gateway. Direct a portion of the traffic to the new API using an Amazon Route 53 weighted routing policy.,Validate the new API version and promote it to production during the window of lowest expected utilization.,Implement an Amazon CloudWatch alarm to trigger a rollback if the observed HTTP 500 status code rate exceeds a predetermined threshold.,Use the canary release deployment option in API Gateway. Direct a percentage of the API traffic using the canarySettings setting.,"# Answer
- **Correct option:** D
- **Reason:** Using the canary release deployment option in API Gateway allows the developer to route a percentage of traffic to the new API version while keeping the majority on the stable version. This approach provides a safe way to test the new version with real users, enabling the team to monitor performance and issues without fully committing to the new release.

# Example / Analogy
- Think of it like testing a new flavor of ice cream in a small bowl rather than switching all customers to the new flavor immediately. If customers love it, you can roll it out to everyone; if they don't, you still have your original flavor available.

# Common Mistakes / Traps
- A common mistake is to choose options that involve creating a completely new API (Choice A) or merely rolling out updates without testing them (Choice B). Canary releases specifically require managing traffic, which can’t be achieved with those strategies.

# Memory Tip
- **Canary releases let you ""test the waters"" before a full rollout.**"
101,"[""A company caches session information for a web application in an Amazon DynamoDB\ntable. The company wants an automated way to delete old items from the table.\n\nWhat is the simplest way to do this?""]",Write a script that deletes old records; schedule the script as a cron job on an Amazon EC2 instance.,Add an attribute with the expiration time; enable the Time To Live feature based on that attribute.,"Each day, create a new table to hold session data; delete the previous day's table.",Add an attribute with the expiration time; name the attribute ItemExpiration.,"# Answer
- **Correct option:** B : Add an attribute with the expiration time; enable the Time To Live feature based on that attribute.

- **Reason:** The Time To Live (TTL) feature in DynamoDB allows you to specify an expiration time for each item in your table. When the specified time is reached, DynamoDB automatically deletes the item. This eliminates the need for manual scripts or external processes to manage old records, simplifying your architecture and reducing costs.

# Example / Analogy
- Imagine the TTL feature as a ""best before"" date on packaged food. Once the date passes, you can safely dispose of the item without risk, just as DynamoDB automatically clears expired items, keeping your data fresh without manual intervention.

# Common Mistakes / Traps
- A common trap is thinking that a script-based solution is necessary for cleanup, overlooking the built-in TTL functionality that simplifies management. Some may also get confused by suggesting naming conventions for attributes (like ItemExpiration) instead of focusing on enabling TTL itself.

# Memory Tip
- **Think of TTL as a ""self-cleaning"" mechanism for your DynamoDB items.**"
