ID,Question,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Correct_Answers,Explanation
106491,"A developer creates a VPC named VPC-A that has public and private subnets. The developer also creates an Amazon RDS database inside the private subnet of VPC-A. To perform some queries, the developer creates an AWS Lambda function in the default VPC. The Lambda function has code to access the RDS database. When the Lambda function runs, an error message indicates that the function cannot connect to the RDS database. How can the developer solve this problem?",Modify the RDS security group. Add a rule to allow traffic from all the ports from the VPC CIDR block.,Redeploy the Lambda function in the same subnet as the RDS instance. Ensure that the RDS security group allows traffic from the Lambda function.,Create a security group for the Lambda function. Add a new rule in the RDS security group to allow traffic from the new Lambda security group.,Create an IAM role. Attach a policy that allows access to the RDS database. Attach the role to the Lambda function.,,C,"To allow Lambda to connect to RDS in a VPC, the correct solution is to attach a security group to the Lambda function and allow that security group in the RDS security group. Moving the Lambda to the same subnet is unnecessary and incorrect."
106708,A company runs an application on AWS. The company deployed the application on Amazon EC2 instances. The application stores data on Amazon Aurora. The application recently logged multiple application-specific custom DECRYP_ERROR errors to Amazon CloudWatch logs. The company did not detect the issue until the automated tests that run every 30 minutes failed. A developer must implement a solution that will monitor for the custom errors and alert a development team in real time when these errors occur in the production environment. Which solution will meet these requirements with the LEAST operational overhead?,Configure the application to create a custom metric and to push the metric to CloudWatch. Create an AWS CloudTrail alarm. Configure the CloudTrail alarm to use an Amazon Simple Notification Service (Amazon SNS) topic to send notifications.,Create an AWS Lambda function to run every 5 minutes to scan the CloudWatch logs for the keyword DECRYP_ERROR. Configure the Lambda function to use Amazon Simple Notification Service (Amazon SNS) to send a notification.,Use Amazon CloudWatch Logs to create a metric filter that has a filter pattern for DECRYP_ERROR. Create a CloudWatch alarm on this metric for a threshold >=1. Configure the alarm to send Amazon Simple Notification Service (Amazon SNS) notifications.,Install the CloudWatch unified agent on the EC2 instance. Configure the application to generate a metric for the keyword DECRYP_ERROR errors. Configure the agent to send Amazon Simple Notification Service (Amazon SNS) notifications.,,C,CloudWatch Logs metric filters are the correct way to detect specific log patterns like DECRYP_ERROR and trigger SNS notifications via a CloudWatch alarm.
106711,"A developer created an AWS Lambda function that accesses resources in a VPC. The Lambda function polls an Amazon Simple Queue Service (Amazon SQS) queue for new messages through a VPC endpoint. Then the function calculates a rolling average of the numeric values that are contained in the messages. After initial tests of the Lambda function, the developer found that the value of the rolling average that the function returned was not accurate. How can the developer ensure that the function calculates an accurate rolling average?",Set the function's reserved concurrency to 1. Calculate the rolling average in the function. Store the calculated rolling average in Amazon ElastiCache.,"Modify the function to store the values in Amazon ElastiCache. When the function initializes, use the previous values from the cache to calculate the rolling average.",Set the function's provisioned concurrency to 1. Calculate the rolling average in the function. Store the calculated rolling average in Amazon ElastiCache.,"Modify the function to store the values in the function's layers. When the function initializes, use the previously stored values to calculate the rolling average.",,B,"Lambda execution environments are ephemeral, so you cannot rely on a single instance even with reserved concurrency. Persisting state in ElastiCache and reloading it on initialization is the correct way to maintain a rolling average."
106717,A developer is writing unit tests for a new application that will be deployed on AWS. The developer wants to validate all pull requests with unit tests and merge the code with the main branch only when all tests pass. The developer stores the code in AWS CodeCommit and sets up AWS CodeBuild to run the unit tests. The developer creates an AWS Lambda function to start the CodeBuild task. The developer needs to identify the CodeCommit events in an Amazon EventBridge event that can invoke the Lambda function when a pull request is created or updated. Which CodeCommit event will meet these requirements?,[https://img.examtopics.com/aws-certified-developer-associate-dva-c02/image4.png],[https://img.examtopics.com/aws-certified-developer-associate-dva-c02/image5.png],[https://img.examtopics.com/aws-certified-developer-associate-dva-c02/image6.png],[https://img.examtopics.com/aws-certified-developer-associate-dva-c02/image7.png],,C,"Based on known solutions for this exam question, option C is the correct choice."
106899,"A company hosts a batch processing application on AWS Elastic Beanstalk with instances that run the most recent version of Amazon Linux. The application sorts and processes large datasets. In recent weeks, the application's performance has decreased significantly during a peak period for traffic. A developer suspects that the application issues are related to the memory usage. The developer checks the Elastic Beanstalk console and notices that memory usage is not being tracked. How should the developer gather more information about the application performance issues?",Configure the Amazon CloudWatch agent to push logs to Amazon CloudWatch Logs by using port 443.,Configure the Elastic Beanstalk .ebextensions directory to track the memory usage of the instances.,Configure the Amazon CloudWatch agent to track the memory usage of the instances.,Configure an Amazon CloudWatch dashboard to track the memory usage of the instances.,,C,Memory metrics are not collected by default. You must install and configure the CloudWatch agent to track memory usage on EC2 instances in Elastic Beanstalk.
106939,A developer is implementing an AWS Cloud Development Kit (AWS CDK) serverless application. The developer will provision several AWS Lambda functions and Amazon API Gateway APIs during AWS CloudFormation stack creation. The developer's workstation has the AWS Serverless Application Model (AWS SAM) and the AWS CDK installed locally. How can the developer test a specific Lambda function locally?,Run the sam package and sam deploy commands. Create a Lambda test event from the AWS Management Console. Test the Lambda function.,Run the cdk synth and cdk deploy commands. Create a Lambda test event from the AWS Management Console. Test the Lambda function.,Run the cdk synth and sam local invoke commands with the function construct identifier and the path to the synthesized CloudFormation template.,Run the cdk synth and sam local start-lambda commands with the function construct identifier and the path to the synthesized CloudFormation template.,,C,"To test a Lambda function defined in AWS CDK locally with SAM, you must first run cdk synth to produce the CloudFormation template, then use sam local invoke with the function’s identifier and the synthesized template."
106941,A developer is building an application that uses Amazon DynamoDB. The developer wants to retrieve multiple specific items from the database with a single API call. Which DynamoDB API call will meet these requirements with the MINIMUM impact on the database?,BatchGetItem,GetItem,Scan,Query,,A,"BatchGetItem is the correct API because it retrieves multiple specific items using their keys in a single request. It avoids scans and minimizes read capacity usage, making it the most efficient choice for this scenario."
106946,"A developer is creating a service that uses an Amazon S3 bucket for image uploads. The service will use an AWS Lambda function to create a thumbnail of each image. Each time an image is uploaded, the service needs to send an email notification and create the thumbnail. The developer needs to configure the image processing and email notifications setup. Which solution will meet these requirements?",Create an Amazon Simple Notification Service (Amazon SNS) topic. Configure S3 event notifications with a destination of the SNS topic. Subscribe the Lambda function to the SNS topic. Create an email notification subscription to the SNS topic.,Create an Amazon Simple Notification Service (Amazon SNS) topic. Configure S3 event notifications with a destination of the SNS topic. Subscribe the Lambda function to the SNS topic. Create an Amazon Simple Queue Service (Amazon SQS) queue. Subscribe the SQS queue to the SNS topic. Create an email notification subscription to the SQS queue.,Create an Amazon Simple Queue Service (Amazon SQS) queue. Configure S3 event notifications with a destination of the SQS queue. Subscribe the Lambda function to the SQS queue. Create an email notification subscription to the SQS queue.,Create an Amazon Simple Queue Service (Amazon SQS) queue. Send S3 event notifications to Amazon EventBridge. Create an EventBridge rule that runs the Lambda function when images are uploaded to the S3 bucket. Create an EventBridge rule that sends notifications to the SQS queue. Create an email notification subscription to the SQS queue.,,A,SNS is the correct fan-out mechanism for sending S3 event notifications to both a Lambda function and an email subscription.
106947,"A developer has designed an application to store incoming data as JSON files in Amazon S3 objects. Custom business logic in an AWS Lambda function then transforms the objects, and the Lambda function loads the data into an Amazon DynamoDB table. Recently, the workload has experienced sudden and significant changes in traffic. The flow of data to the DynamoDB table is becoming throttled. The developer needs to implement a solution to eliminate the throttling and load the data into the DynamoDB table more consistently. Which solution will meet these requirements?",Refactor the Lambda function into two functions. Configure one function to transform the data and one function to load the data into the DynamoDB table. Create an Amazon Simple Queue Service (Amazon SQS) queue in between the functions to hold the items as messages and to invoke the second function.,Turn on auto scaling for the DynamoDB table. Use Amazon CloudWatch to monitor the table's read and write capacity metrics and to track consumed capacity.,Create an alias for the Lambda function. Configure provisioned concurrency for the application to use.,Refactor the Lambda function into two functions. Configure one function to store the data in the DynamoDB table. Configure the second function to process the data and update the items after the data is stored in DynamoDB. Create a DynamoDB stream to invoke the second function after the data is stored.,,A,"Using SQS to decouple the transform and load steps improves scalability and reliability, making option A the correct architectural pattern."
106980,A developer is creating an application. New users of the application must be able to create an account and register by using their own social media accounts. Which AWS service or resource should the developer use to meet these requirements?,IAM role,Amazon Cognito identity pools,Amazon Cognito user pools,AWS Directory Service,,C,Cognito user pools are used to manage user sign‑up and sign‑in functionality for applications.
