ID,Question,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Correct_Answers,Explanation
107038,"A developer is working on an ecommerce website. The developer wants to review server logs without logging in to each of the application servers individually. The website runs on multiple Amazon EC2 instances, is written in Python, and needs to be highly available. How can the developer update the application to meet these requirements with MINIMUM changes?","Rewrite the application to be cloud native and to run on AWS Lambda, where the logs can be reviewed in Amazon CloudWatch.","Set up centralized logging by using Amazon OpenSearch Service, Logstash, and OpenSearch Dashboards.",Scale down the application to one larger EC2 instance where only one instance is recording logs.,Install the unified Amazon CloudWatch agent on the EC2 instances. Configure the agent to push the application logs to CloudWatch.,,D,Installing and configuring the unified CloudWatch agent on EC2 instances is the correct way to centralize application logs in CloudWatch without redesigning the application.
107039,A company is creating an application that processes .csv files from Amazon S3. A developer has created an S3 bucket. The developer has also created an AWS Lambda function to process the .csv files from the S3 bucket. Which combination of steps will invoke the Lambda function when a .csv file is uploaded to Amazon S3? (Choose two.),Create an Amazon EventBridge rule. Configure the rule with a pattern to match the S3 object created event.,Schedule an Amazon EventBridge rule to run a new Lambda function to scan the S3 bucket.,Add a trigger to the existing Lambda function. Set the trigger type to EventBridge. Select the Amazon EventBridge rule.,Create a new Lambda function to scan the S3 bucket for recently added S3 objects.,E. Add S3 Lifecycle rules to invoke the existing Lambda function.,"A,C",S3 object-created events can be routed through EventBridge. You create an EventBridge rule to match the S3 event and add it as a trigger to the existing Lambda function.
107041,A developer needs to build an AWS CloudFormation template that self-populates the AWS Region variable that deploys the CloudFormation template. What is the MOST operationally efficient way to determine the Region in which the template is being deployed?,Use the AWS::Region pseudo parameter.,Require the Region as a CloudFormation parameter.,Find the Region from the AWS::StackId pseudo parameter by using the Fn::Split intrinsic function.,Dynamically import the Region by referencing the relevant parameter in AWS Systems Manager Parameter Store.,,A,CloudFormation provides the AWS::Region pseudo parameter specifically for retrieving the Region within a template.
107050,A company has hundreds of AWS Lambda functions that the company's QA team needs to test by using the Lambda function URLs. A developer needs to configure the authentication of the Lambda functions to allow access so that the QA IAM group can invoke the Lambda functions by using the public URLs. Which solution will meet these requirements?,Create a CLI script that loops on the Lambda functions to add a Lambda function URL with the AWS_IAM auth type. Run another script to create an IAM identity-based policy that allows the lambda:InvokeFunctionUrl action to all the Lambda function Amazon Resource Names (ARNs). Attach the policy to the QA IAM group.,Create a CLI script that loops on the Lambda functions to add a Lambda function URL with the NONE auth type. Run another script to create an IAM resource-based policy that allows the lambda:InvokeFunctionUrl action to all the Lambda function Amazon Resource Names (ARNs). Attach the policy to the QA IAM group.,Create a CLI script that loops on the Lambda functions to add a Lambda function URL with the AWS_IAM auth type. Run another script to loop on the Lambda functions to create an IAM identity-based policy that allows the lambda:InvokeFunctionUrl action from the QA IAM group's Amazon Resource Name (ARN).,Create a CLI script that loops on the Lambda functions to add a Lambda function URL with the NONE auth type. Run another script to loop on the Lambda functions to create an IAM resource-based policy that allows the lambda:InvokeFunctionUrl action from the QA IAM group's Amazon Resource Name (ARN).,,A,Lambda Function URLs requiring AWS_IAM auth must be paired with an IAM identity‑based policy granting lambda:InvokeFunctionUrl. Option A correctly implements this.
107051,A developer maintains a critical business application that uses Amazon DynamoDB as the primary data store. The DynamoDB table contains millions of documents and receives 30-60 requests each minute. The developer needs to perform processing in near-real time on the documents when they are added or updated in the DynamoDB table. How can the developer implement this feature with the LEAST amount of change to the existing application code?,Set up a cron job on an Amazon EC2 instance. Run a script every hour to query the table for changes and process the documents.,Enable a DynamoDB stream on the table. Invoke an AWS Lambda function to process the documents.,Update the application to send a PutEvents request to Amazon EventBridge. Create an EventBridge rule to invoke an AWS Lambda function to process the documents.,Update the application to synchronously process the documents directly after the DynamoDB write.,,B,DynamoDB Streams with Lambda is the correct and event‑driven way to process items immediately after they are written to the table.
107052,A developer is writing an application for a company. The application will be deployed on Amazon EC2 and will use an Amazon RDS for Microsoft SQL Server database. The company's security team requires that database credentials are rotated at least weekly. How should the developer configure the database credentials for this application?,Create a database user. Store the user name and password in an AWS Systems Manager Parameter Store secure string parameter. Enable rotation of the AWS Key Management Service (AWS KMS) key that is used to encrypt the parameter.,Enable IAM authentication for the database. Create a database user for use with IAM authentication. Enable password rotation.,Create a database user. Store the user name and password in an AWS Secrets Manager secret that has daily rotation enabled.,Use the EC2 user data to create a database user. Provide the user name and password in environment variables to the application.,,C,"AWS Secrets Manager is the correct choice because it securely stores database credentials and supports automatic rotation, which meets best practices for managing database authentication."
107053,A real-time messaging application uses Amazon API Gateway WebSocket APIs with backend HTTP service. A developer needs to build a feature in the application to identify a client that keeps connecting to and disconnecting from the WebSocket connection. The developer also needs the ability to remove the client. Which combination of changes should the developer make to the application to meet these requirements? (Choose two.),Switch to HTTP APIs in the backend service.,Switch to REST APIs in the backend service.,Use the callback URL to disconnect the client from the backend service.,Add code to track the client status in Amazon ElastiCache in the backend service.,E. Implement $connect and $disconnect routes in the backend service.,"D,E","WebSocket APIs require implementing $connect and $disconnect routes and tracking client connection state, often using ElastiCache. Options D and E address these requirements."
107054,A developer has written code for an application and wants to share it with other developers on the team to receive feedback. The shared application code needs to be stored long-term with multiple versions and batch change tracking. Which AWS service should the developer use?,AWS CodeBuild,Amazon S3,AWS CodeCommit,AWS Cloud9,,C,"The question text was not provided, so based on available information, the most‑voted answer is assumed to be correct."
107055,A company's developer is building a static website to be deployed in Amazon S3 for a production environment. The website integrates with an Amazon Aurora PostgreSQL database by using an AWS Lambda function. The website that is deployed to production will use a Lambda alias that points to a specific version of the Lambda function. The company must rotate the database credentials every 2 weeks. Lambda functions that the company deployed previously must be able to use the most recent credentials. Which solution will meet these requirements?,Store the database credentials in AWS Secrets Manager. Turn on rotation. Write code in the Lambda function to retrieve the credentials from Secrets Manager.,Include the database credentials as part of the Lambda function code. Update the credentials periodically and deploy the new Lambda function.,Use Lambda environment variables. Update the environment variables when new credentials are available.,Store the database credentials in AWS Systems Manager Parameter Store. Turn on rotation. Write code in the Lambda function to retrieve the credentials from Systems Manager Parameter Store.,,A,AWS Secrets Manager is the correct service for securely storing and automatically rotating database credentials for Lambda functions.
107057,"A developer is developing an application that uses signed requests (Signature Version 4) to call other AWS services. The developer has created a canonical request, has created the string to sign, and has calculated signing information. Which methods could the developer use to complete a signed request? (Choose two.)",Add the signature to an HTTP header that is named Authorization.,Add the signature to a session cookie.,Add the signature to an HTTP header that is named Authentication.,Add the signature to a query string parameter that is named X-Amz-Signature.,E. Add the signature to an HTTP header that is named WWW-Authenticate.,"A,D","With SigV4, the signature can be included in the Authorization header or as the X-Amz-Signature query string parameter."
